Window,Normalization,Dimensions,SimLex-Correlation,SimLex-Coverage,WordSim-Correlation,WordSim-Coverage,Analogy-Accuracy,Clustering-Silhouette,Method,Model-Type,Vocabulary-Size,Analogy-Coverage
10.0,ppmi,100,0.1344143332858609,0.4041890848263108,0.2075542277006096,0.5817136719434551,0.0,0.1568786,Co-occurrence,,,
10.0,ppmi,200,0.2343195360804539,0.7309681902948488,0.3788277056237106,0.5785056973074421,0.0,0.1797882,Co-occurrence,,,
10.0,ppmi,300,0.107845008692458,0.0367935119136022,0.6847503931161136,0.1463665403482396,0.0,0.27687725,Co-occurrence,,,
10.0,ppmi,50,0.2096271014251612,0.6130521544144133,0.1378424152044823,0.6384402223266714,0.0,0.34499782,Co-occurrence,,,
10.0,rownormalize,100,0.4483285808338825,0.3637870585926844,0.0809326929294165,0.8032485004689996,0.0,0.0627239,Co-occurrence,,,
10.0,rownormalize,200,0.0554392477579535,0.1971266106515138,0.7240570315568923,0.3679092904842382,0.0,0.029109849,Co-occurrence,,,
10.0,rownormalize,300,0.8085470306091889,0.5641897825306108,0.3590666439696405,0.4912073704397921,0.0,0.034109004,Co-occurrence,,,
10.0,rownormalize,50,0.5089398703133515,0.3804166288017787,0.109857464060052,0.5164919292357092,0.0,0.09138619,Co-occurrence,,,
10.0,tfidf,100,0.6824769903873502,0.2985723727143377,0.7908938169117317,0.2027637743704713,0.0,0.04445058,Co-occurrence,,,
10.0,tfidf,200,0.3140450954304992,0.5711783500577641,0.4528584307472613,0.5945517518661481,0.0,0.0075766463,Co-occurrence,,,
10.0,tfidf,300,0.9896072645926668,0.3153731230086283,0.8628089698997639,0.2923592223415546,0.0,0.31047982,Co-occurrence,,,
10.0,tfidf,50,0.3559722860806245,0.0832284355218638,0.3112124156293514,0.9903059919901978,0.0,0.063744456,Co-occurrence,,,
2.0,ppmi,100,0.1088943448992608,0.6312415089488463,0.5591640782884547,0.5736364096808121,0.0,0.38698283,Co-occurrence,,,
2.0,ppmi,200,0.9294063658298308,0.35546066353298,0.4551885512655715,0.7927797409595871,0.0,0.3217614,Co-occurrence,,,
2.0,ppmi,300,0.7291554697294838,0.0302748659818107,0.1170606179216712,0.0038956387609496,0.0,0.32312584,Co-occurrence,,,
2.0,ppmi,50,0.1176078703802701,0.2608260415519923,0.0024100841218368,0.634517205598585,0.0,0.45793658,Co-occurrence,,,
2.0,rownormalize,100,0.980320050994874,0.3396933208936321,0.6654246009117392,0.6574062129712953,0.0,0.11222963,Co-occurrence,,,
2.0,rownormalize,200,0.2278530884703619,0.7740903922960789,0.5634890508341156,0.1605676101302172,0.0,0.058906164,Co-occurrence,,,
2.0,rownormalize,300,0.152732669106681,0.4052253519134667,0.8788726120114059,0.3356176800842524,0.0,0.059560385,Co-occurrence,,,
2.0,rownormalize,50,0.8812188291442324,0.0921251657122127,0.2074051530850478,0.1239513437095031,0.0,0.14401227,Co-occurrence,,,
2.0,tfidf,100,0.7667627275029785,0.0585567840922982,0.1898220475787122,0.0161508245026106,0.0,0.06895411,Co-occurrence,,,
2.0,tfidf,200,0.1638916368891186,0.4705751936346948,0.6743474229372274,0.8497087557130611,0.0,0.040704824,Co-occurrence,,,
2.0,tfidf,300,0.1935194421993035,0.1260066040323577,0.9310395518420276,0.7708064323918611,0.0,0.048941493,Co-occurrence,,,
2.0,tfidf,50,0.8875348247492564,0.6970366535827115,0.3298060797188951,0.2271075022651602,0.0,0.14050838,Co-occurrence,,,
4.0,ppmi,100,0.5770693308065414,0.4666673242382625,0.3247147320141116,0.9791916484679694,0.0,0.23117833,Co-occurrence,,,
4.0,ppmi,200,0.1513316278691057,0.7337371190881399,0.1193442970917617,0.0384579571909124,0.0,0.21170375,Co-occurrence,,,
4.0,ppmi,300,0.127843717327567,0.8759992343531344,0.5996972945978275,0.7181446673909577,0.0,0.30130982,Co-occurrence,,,
