Window,Normalization,Dimensions,SimLex-Correlation,SimLex-Coverage,WordSim-Correlation,WordSim-Coverage,Analogy-Accuracy,Clustering-Silhouette
10,ppmi,100,0.13441433328586094,0.4041890848263108,0.2075542277006096,0.5817136719434551,0.0,0.1568786
10,ppmi,200,0.23431953608045397,0.7309681902948488,0.3788277056237106,0.5785056973074421,0.0,0.1797882
10,ppmi,300,0.10784500869245806,0.03679351191360225,0.6847503931161136,0.1463665403482396,0.0,0.27687725
10,ppmi,50,0.20962710142516128,0.6130521544144133,0.13784241520448237,0.6384402223266714,0.0,0.34499782
10,rownormalize,100,0.4483285808338825,0.36378705859268445,0.08093269292941652,0.8032485004689996,0.0,0.0627239
10,rownormalize,200,0.0554392477579535,0.19712661065151382,0.7240570315568923,0.36790929048423826,0.0,0.029109849
10,rownormalize,300,0.8085470306091889,0.5641897825306108,0.3590666439696405,0.4912073704397921,0.0,0.034109004
10,rownormalize,50,0.5089398703133515,0.38041662880177873,0.10985746406005203,0.5164919292357092,0.0,0.09138619
10,tfidf,100,0.6824769903873502,0.2985723727143377,0.7908938169117317,0.20276377437047133,0.0,0.04445058
10,tfidf,200,0.3140450954304992,0.5711783500577641,0.4528584307472613,0.5945517518661481,0.0,0.0075766463
10,tfidf,300,0.9896072645926668,0.3153731230086283,0.8628089698997639,0.29235922234155465,0.0,0.31047982
10,tfidf,50,0.3559722860806245,0.08322843552186387,0.3112124156293514,0.9903059919901978,0.0,0.063744456
2,ppmi,100,0.10889434489926086,0.6312415089488463,0.5591640782884547,0.5736364096808121,0.0,0.38698283
2,ppmi,200,0.9294063658298309,0.35546066353298,0.45518855126557156,0.7927797409595871,0.0,0.3217614
2,ppmi,300,0.7291554697294838,0.030274865981810728,0.11706061792167122,0.003895638760949671,0.0,0.32312584
2,ppmi,50,0.1176078703802701,0.2608260415519923,0.002410084121836853,0.634517205598585,0.0,0.45793658
2,rownormalize,100,0.9803200509948741,0.33969332089363213,0.6654246009117392,0.6574062129712953,0.0,0.11222963
2,rownormalize,200,0.2278530884703619,0.7740903922960789,0.5634890508341156,0.16056761013021725,0.0,0.058906164
2,rownormalize,300,0.15273266910668104,0.40522535191346676,0.8788726120114059,0.3356176800842524,0.0,0.059560385
2,rownormalize,50,0.8812188291442324,0.09212516571221274,0.2074051530850478,0.12395134370950311,0.0,0.14401227
2,tfidf,100,0.7667627275029785,0.05855678409229825,0.18982204757871224,0.016150824502610628,0.0,0.06895411
